BatchSize, Learning_Rate, Hidden_Layer_width
775, 0.0025855468734242077, 608
775, 0.0025099318225595417, 611
782, 0.002587909621145096, 606
775, 0.0025123755467827257, 612
719, 0.0018849488671686915, 658
775, 0.0025123755467827257, 612
775, 0.0025172558573818156, 611
774, 0.0025001664639663353, 612
775, 0.0025050491432745425, 612
